hour,DR-1
h1641,0
h1642,0
h1643,0
h1644,0
h1645,0
h1646,0
h1647,0
h1648,1
h1649,1
h1650,1
h1651,1
h1652,1
h1653,1
h1654,1
h1655,0
h1656,0
h1657,0
h1658,0
h1659,0
h1660,0
h1661,0
h1662,0
h1663,0
h1664,0
h1665,0
h1666,0
h1667,0
h1668,0
h1669,0
h1670,0
h1671,0
h1672,1
h1673,1
h1674,1
h1675,1
h1676,1
h1677,1
h1678,1
h1679,0
h1680,0
h1681,0
h1682,0
h1683,0
h1684,0
h1685,0
h1686,0
h1687,0
h1688,0
h1689,0
h1690,0
h1691,0
h1692,0
h1693,0
h1694,0
h1695,0
h1696,1
h1697,1
h1698,1
h1699,1
h1700,1
h1701,1
h1702,1
h1703,0
h1704,0
h1705,0
h1706,0
h1707,0
h1708,0
h1709,0
h1710,0
h1711,0
h1712,0
h1713,0
h1714,0
h1715,0
h1716,0
h1717,0
h1718,0
h1719,0
h1720,1
h1721,1
h1722,1
h1723,1
h1724,1
h1725,1
h1726,1
h1727,0
h1728,0
h1729,0
h1730,0
h1731,0
h1732,0
h1733,0
h1734,0
h1735,0
h1736,0
h1737,0
h1738,0
h1739,0
h1740,0
h1741,0
h1742,0
h1743,0
h1744,1
h1745,1
h1746,1
h1747,1
h1748,1
h1749,1
h1750,1
h1751,0
h1752,0
h1753,0
h1754,0
h1755,0
h1756,0
h1757,0
h1758,0
h1759,0
h1760,0
h1761,0
h1762,0
h1763,0
h1764,0
h1765,0
h1766,0
h1767,0
h1768,1
h1769,1
h1770,1
h1771,1
h1772,1
h1773,1
h1774,1
h1775,0
h1776,0
h1777,0
h1778,0
h1779,0
h1780,0
h1781,0
h1782,0
h1783,0
h1784,0
h1785,0
h1786,0
h1787,0
h1788,0
h1789,0
h1790,0
h1791,0
h1792,1
h1793,1
h1794,1
h1795,1
h1796,1
h1797,1
h1798,1
h1799,0
h1800,0
h1801,0
h1802,0
h1803,0
h1804,0
h1805,0
h1806,0
h1807,0
h1808,0
h1809,0
h1810,0
h1811,0
h1812,0
h1813,0
h1814,0
h1815,0
h1816,1
h1817,1
h1818,1
h1819,1
h1820,1
h1821,1
h1822,1
h1823,0
h1824,0
h1825,0
h1826,0
h1827,0
h1828,0
h1829,0
h1830,0
h1831,0
h1832,0
h1833,0
h1834,0
h1835,0
h1836,0
h1837,0
h1838,0
h1839,0
h1840,1
h1841,1
h1842,1
h1843,1
h1844,1
h1845,1
h1846,1
h1847,0
h1848,0
h1849,0
h1850,0
h1851,0
h1852,0
h1853,0
h1854,0
h1855,0
h1856,0
h1857,0
h1858,0
h1859,0
h1860,0
h1861,0
h1862,0
h1863,0
h1864,1
h1865,1
h1866,1
h1867,1
h1868,1
h1869,1
h1870,1
h1871,0
h1872,0
h1873,0
h1874,0
h1875,0
h1876,0
h1877,0
h1878,0
h1879,0
h1880,0
h1881,0
h1882,0
h1883,0
h1884,0
h1885,0
h1886,0
h1887,0
h1888,1
h1889,1
h1890,1
h1891,1
h1892,1
h1893,1
h1894,1
h1895,0
h1896,0
h1897,0
h1898,0
h1899,0
h1900,0
h1901,0
h1902,0
h1903,0
h1904,0
h1905,0
h1906,0
h1907,0
h1908,0
h1909,0
h1910,0
h1911,0
h1912,1
h1913,1
h1914,1
h1915,1
h1916,1
h1917,1
h1918,1
h1919,0
h1920,0
h1921,0
h1922,0
h1923,0
h1924,0
h1925,0
h1926,0
h1927,0
h1928,0
h1929,0
h1930,0
h1931,0
h1932,0
h1933,0
h1934,0
h1935,0
h1936,1
h1937,1
h1938,1
h1939,1
h1940,1
h1941,1
h1942,1
h1943,0
h1944,0
h1945,0
h1946,0
h1947,0
h1948,0
h1949,0
h1950,0
h1951,0
h1952,0
h1953,0
h1954,0
h1955,0
h1956,0
h1957,0
h1958,0
h1959,0
h1960,1
h1961,1
h1962,1
h1963,1
h1964,1
h1965,1
h1966,1
h1967,0
h1968,0
h1969,0
h1970,0
h1971,0
h1972,0
h1973,0
h1974,0
h1975,0
h1976,0
h1977,0
h1978,0
h1979,0
h1980,0
h1981,0
