hour,DR-1
h1711,0
h1712,0
h1713,0
h1714,1
h1715,1
h1716,1
h1717,1
h1718,1
h1719,1
h1720,1
h1721,1
h1722,0
h1723,0
h1724,0
h1725,0
h1726,0
h1727,0
h1728,0
h1729,0
h1730,0
h1731,0
h1732,0
h1733,0
h1734,0
h1735,0
h1736,0
h1737,1
h1738,1
h1739,1
h1740,1
h1741,1
h1742,1
h1743,1
h1744,1
h1745,0
h1746,0
h1747,0
h1748,0
h1749,0
h1750,0
h1751,0
h1752,0
h1753,0
h1754,0
h1755,0
h1756,0
h1757,0
h1758,0
h1759,0
h1760,0
h1761,1
h1762,1
h1763,1
h1764,1
h1765,1
h1766,1
h1767,1
h1768,1
h1769,0
h1770,0
h1771,0
h1772,0
h1773,0
h1774,0
h1775,0
h1776,0
h1777,0
h1778,0
h1779,0
h1780,0
h1781,0
h1782,0
h1783,0
h1784,0
h1785,1
h1786,1
h1787,1
h1788,1
h1789,1
h1790,1
h1791,1
h1792,1
h1793,0
h1794,0
h1795,0
h1796,0
h1797,0
h1798,0
h1799,0
h1800,0
h1801,0
h1802,0
h1803,0
h1804,0
h1805,0
h1806,0
h1807,0
h1808,0
h1809,1
h1810,1
h1811,1
h1812,1
h1813,1
h1814,1
h1815,1
h1816,1
h1817,0
h1818,0
h1819,0
h1820,0
h1821,0
h1822,0
h1823,0
h1824,0
h1825,0
h1826,0
h1827,0
h1828,0
h1829,0
h1830,0
h1831,0
h1832,0
h1833,1
h1834,1
h1835,1
h1836,1
h1837,1
h1838,1
h1839,1
h1840,1
h1841,0
h1842,0
h1843,0
h1844,0
h1845,0
h1846,0
h1847,0
h1848,0
h1849,0
h1850,0
h1851,0
h1852,0
h1853,0
h1854,0
h1855,0
h1856,0
h1857,1
h1858,1
h1859,1
h1860,1
h1861,1
h1862,1
h1863,1
h1864,1
h1865,0
h1866,0
h1867,0
h1868,0
h1869,0
h1870,0
h1871,0
h1872,0
h1873,0
h1874,0
h1875,0
h1876,0
h1877,0
h1878,0
h1879,0
h1880,0
h1881,1
h1882,1
h1883,1
h1884,1
h1885,1
h1886,1
h1887,1
h1888,1
h1889,0
h1890,0
h1891,0
h1892,0
h1893,0
h1894,0
h1895,0
h1896,0
h1897,0
h1898,0
h1899,0
h1900,0
h1901,0
h1902,0
h1903,0
h1904,0
h1905,1
h1906,1
h1907,1
h1908,1
h1909,1
h1910,1
h1911,1
h1912,1
h1913,0
h1914,0
h1915,0
h1916,0
h1917,0
h1918,0
h1919,0
h1920,0
h1921,0
h1922,0
h1923,0
h1924,0
h1925,0
h1926,0
h1927,0
h1928,0
h1929,1
h1930,1
h1931,1
h1932,1
h1933,1
h1934,1
h1935,1
h1936,1
h1937,0
h1938,0
h1939,0
h1940,0
h1941,0
h1942,0
h1943,0
h1944,0
h1945,0
h1946,0
h1947,0
h1948,0
h1949,0
h1950,0
h1951,0
h1952,0
h1953,1
h1954,1
h1955,1
h1956,1
h1957,1
h1958,1
h1959,1
h1960,1
h1961,0
h1962,0
h1963,0
h1964,0
h1965,0
h1966,0
h1967,0
h1968,0
h1969,0
h1970,0
h1971,0
h1972,0
h1973,0
h1974,0
h1975,0
h1976,0
h1977,1
h1978,1
h1979,1
h1980,1
h1981,1
h1982,1
h1983,1
h1984,1
h1985,0
h1986,0
h1987,0
h1988,0
h1989,0
h1990,0
h1991,0
h1992,0
h1993,0
h1994,0
h1995,0
h1996,0
h1997,0
h1998,0
h1999,0
h2000,0
h2001,1
h2002,1
h2003,1
h2004,1
h2005,1
h2006,1
h2007,1
h2008,1
h2009,0
h2010,0
h2011,0
h2012,0
h2013,0
h2014,0
h2015,0
h2016,0
h2017,0
h2018,0
h2019,0
h2020,0
h2021,0
h2022,0
h2023,0
h2024,0
h2025,1
h2026,1
h2027,1
h2028,1
h2029,1
h2030,1
h2031,1
h2032,1
h2033,0
h2034,0
h2035,0
h2036,0
h2037,0
h2038,0
h2039,0
h2040,0
h2041,0
h2042,0
h2043,0
h2044,0
h2045,0
h2046,0
h2047,0
h2048,0
h2049,1
h2050,1
h2051,1
h2052,1
h2053,1
h2054,1
h2055,1
h2056,1
h2057,0
h2058,0
h2059,0
h2060,0
h2061,0
h2062,0
h2063,0
h2064,0
h2065,0
h2066,0
h2067,0
h2068,0
h2069,0
h2070,0
h2071,0
h2072,0
h2073,1
h2074,1
h2075,1
h2076,1
h2077,1
h2078,1
h2079,1
h2080,1
h2081,0
h2082,0
h2083,0
h2084,0
h2085,0
h2086,0
h2087,0
h2088,0
h2089,0
h2090,0
h2091,0
h2092,0
h2093,0
h2094,0
h2095,0
h2096,0
h2097,1
h2098,1
h2099,1
h2100,1
h2101,1
h2102,1
h2103,1
h2104,1
h2105,0
h2106,0
h2107,0
h2108,0
h2109,0
h2110,0
h2111,0
h2112,0
h2113,0
h2114,0
h2115,0
h2116,0
h2117,0
h2118,0
h2119,0
h2120,0
h2121,1
h2122,1
h2123,1
h2124,1
h2125,1
h2126,1
h2127,1
h2128,1
h2129,0
h2130,0
h2131,0
h2132,0
h2133,0
h2134,0
h2135,0
h2136,0
h2137,0
h2138,0
h2139,0
h2140,0
h2141,0
h2142,0
h2143,0
h2144,0
h2145,1
h2146,1
h2147,1
h2148,1
h2149,1
h2150,1
h2151,1
h2152,1
h2153,0
h2154,0
h2155,0
h2156,0
h2157,0
h2158,0
h2159,0
h2160,0
h2161,0
h2162,0
h2163,0
h2164,0
h2165,0
h2166,0
h2167,0
h2168,0
h2169,1
h2170,1
h2171,1
h2172,1
h2173,1
h2174,1
h2175,1
h2176,1
h2177,0
h2178,0
h2179,0
h2180,0
h2181,0
h2182,0
h2183,0
h2184,0
h2185,0
h2186,0
h2187,0
h2188,0
h2189,0
h2190,0
h2191,0
h2192,0
h2193,1
h2194,1
h2195,1
h2196,1
h2197,1
h2198,1
h2199,1
h2200,1
h2201,0
h2202,0
h2203,0
h2204,0
h2205,0
h2206,0
h2207,0
h2208,0
h2209,0
h2210,0
h2211,0
h2212,0
h2213,0
h2214,0
h2215,0
h2216,0
h2217,1
h2218,1
h2219,1
h2220,1
h2221,1
h2222,1
h2223,1
h2224,1
h2225,0
h2226,0
h2227,0
h2228,0
h2229,0
h2230,0
h2231,0
h2232,0
h2233,0
h2234,0
h2235,0
h2236,0
h2237,0
h2238,0
h2239,0
h2240,0
h2241,1
h2242,1
h2243,1
h2244,1
h2245,1
h2246,1
h2247,1
h2248,1
h2249,0
h2250,0
h2251,0
h2252,0
h2253,0
h2254,0
h2255,0
h2256,0
h2257,0
h2258,0
h2259,0
h2260,0
h2261,0
h2262,0
h2263,0
h2264,0
h2265,1
h2266,1
h2267,1
h2268,1
h2269,1
h2270,1
h2271,1
h2272,1
h2273,0
h2274,0
h2275,0
h2276,0
h2277,0
h2278,0
h2279,0
h2280,0
h2281,0
h2282,0
h2283,0
h2284,0
h2285,0
h2286,0
h2287,0
h2288,0
h2289,1
h2290,1
h2291,1
h2292,1
h2293,1
h2294,1
h2295,1
h2296,1
h2297,0
h2298,0
h2299,0
h2300,0
h2301,0
h2302,0
h2303,0
h2304,0
h2305,0
h2306,0
h2307,0
h2308,0
h2309,0
h2310,0
h2311,0
h2312,0
h2313,1
h2314,1
h2315,1
h2316,1
h2317,1
h2318,1
h2319,1
h2320,1
h2321,0
h2322,0
h2323,0
h2324,0
h2325,0
h2326,0
h2327,0
h2328,0
h2329,0
h2330,0
h2331,0
h2332,0
h2333,0
h2334,0
h2335,0
h2336,0
h2337,1
h2338,1
h2339,1
h2340,1
h2341,1
h2342,1
h2343,1
h2344,1
h2345,0
h2346,0
h2347,0
h2348,0
h2349,0
h2350,0
h2351,0
h2352,0
h2353,0
h2354,0
h2355,0
h2356,0
h2357,0
h2358,0
h2359,0
h2360,0
h2361,1
h2362,1
h2363,1
h2364,1
h2365,1
h2366,1
h2367,1
h2368,1
h2369,0
h2370,0
h2371,0
h2372,0
h2373,0
h2374,0
h2375,0
h2376,0
h2377,0
h2378,0
h2379,0
h2380,0
h2381,0
h2382,0
h2383,0
h2384,0
h2385,1
h2386,1
h2387,1
h2388,1
h2389,1
h2390,1
h2391,1
h2392,1
h2393,0
h2394,0
h2395,0
h2396,0
h2397,0
h2398,0
h2399,0
h2400,0
h2401,0
h2402,0
h2403,0
h2404,0
h2405,0
h2406,0
h2407,0
h2408,0
h2409,1
h2410,1
h2411,1
h2412,1
h2413,1
h2414,1
h2415,1
h2416,1
h2417,0
h2418,0
h2419,0
h2420,0
h2421,0
h2422,0
h2423,0
h2424,0
h2425,0
h2426,0
h2427,0
h2428,0
h2429,0
h2430,0
h2431,0
h2432,0
h2433,1
h2434,1
h2435,1
h2436,1
h2437,1
h2438,1
h2439,1
h2440,1
h2441,0
h2442,0
h2443,0
h2444,0
h2445,0
h2446,0
h2447,0
h2448,0
h2449,0
h2450,0
h2451,0
h2452,0
h2453,0
h2454,0
h2455,0
h2456,0
h2457,1
h2458,1
h2459,1
h2460,1
h2461,1
h2462,1
h2463,1
h2464,1
h2465,0
h2466,0
h2467,0
h2468,0
h2469,0
h2470,0
h2471,0
h2472,0
h2473,0
h2474,0
h2475,0
h2476,0
h2477,0
h2478,0
h2479,0
h2480,0
h2481,1
h2482,1
h2483,1
h2484,1
h2485,1
h2486,1
h2487,1
h2488,1
h2489,0
h2490,0
h2491,0
h2492,0
h2493,0
h2494,0
h2495,0
