SOLAR-7,SOLAR-13,SOLAR-11,SOLAR-2,SOLAR-5,SOLAR-15,SOLAR-12,SOLAR-6,SOLAR-1,SOLAR-9,SOLAR-8,SOLAR-16,SOLAR-17,SOLAR-14,SOLAR-10,SOLAR-3,SOLAR-4,SOLAR-18,time_CST
0.9844444444444445,0.9157303370786516,0.9157303370786516,0.936026936026936,0.9216799091940977,0.9844444444444445,0.9216799091940977,0.9216799091940977,0.9216799091940977,0.9844444444444445,0.9216799091940977,0.9544444444444444,0.9216799091940977,0.9266666666666666,0.9216799091940977,0.9216799091940977,0.936026936026936,0.9144444444444444,2016-02-02T10:00:00Z
1,0.9337078651685393,0.9337078651685393,0.9450056116722783,0.9341657207718501,1,0.9341657207718501,0.9341657207718501,0.9341657207718501,1,0.9341657207718501,0.9533333333333333,0.9341657207718501,0.941111111111111,0.9341657207718501,0.9341657207718501,0.9450056116722783,0.9266666666666666,2016-02-02T11:00:00Z
0.9966666666666667,0.9202247191011236,0.9202247191011236,0.9270482603815936,0.9114642451759365,0.9966666666666667,0.9114642451759365,0.9114642451759365,0.9114642451759365,0.9966666666666667,0.9114642451759365,0.9288888888888889,0.9114642451759365,0.9277777777777777,0.9114642451759365,0.9114642451759365,0.9270482603815936,0.9144444444444444,2016-02-02T12:00:00Z
0.9733333333333333,0.9,0.9,0.9057239057239058,0.8944381384790012,0.9733333333333333,0.8944381384790012,0.8944381384790012,0.8944381384790012,0.9733333333333333,0.8944381384790012,0.911111111111111,0.8944381384790012,0.9066666666666666,0.8944381384790012,0.8944381384790012,0.9057239057239058,0.8944444444444445,2016-02-02T13:00:00Z
0.9466666666666667,0.8584269662921349,0.8584269662921349,0.8585858585858586,0.8501702610669694,0.9466666666666667,0.8501702610669694,0.8501702610669694,0.8501702610669694,0.9466666666666667,0.8501702610669694,0.8677777777777778,0.8501702610669694,0.8655555555555555,0.8501702610669694,0.8501702610669694,0.8585858585858586,0.8488888888888889,2016-02-02T14:00:00Z
0.8788888888888889,0.7719101123595506,0.7719101123595506,0.7665544332211,0.7627695800227016,0.8788888888888889,0.7627695800227016,0.7627695800227016,0.7627695800227016,0.8788888888888889,0.7627695800227016,0.7755555555555554,0.7627695800227016,0.7799999999999999,0.7627695800227016,0.7627695800227016,0.7665544332211,0.7533333333333334,2016-02-02T15:00:00Z
0.7433333333333334,0.6033707865168539,0.6033707865168539,0.5768799102132436,0.5845629965947787,0.7433333333333334,0.5845629965947787,0.5845629965947787,0.5845629965947787,0.7433333333333334,0.5845629965947787,0.57,0.5845629965947787,0.6,0.5845629965947787,0.5845629965947787,0.5768799102132436,0.5544444444444444,2016-02-02T16:00:00Z
0.4255555555555556,0.24719101123595505,0.24719101123595505,0.1829405162738496,0.20658342792281498,0.4255555555555556,0.20658342792281498,0.20658342792281498,0.20658342792281498,0.4255555555555556,0.20658342792281498,0.1311111111111111,0.20658342792281498,0.19999999999999998,0.20658342792281498,0.20658342792281498,0.1829405162738496,0.15777777777777777,2016-02-02T17:00:00Z
0.003333333333333333,0,0,0,0,0.003333333333333333,0,0,0,0.003333333333333333,0,0,0,0,0,0,0,0,2016-02-02T18:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T19:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T20:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T21:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T22:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T23:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T00:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T01:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T02:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03T03:00:00Z
